user_id,vehicle_model,battery_capacity,charging_station_id,charging_station_location,charging_start_time,charging_end_time,energy_consumed,charging_duration,charging_rate,charging_cost,time_of_day,day_of_week,soc_start,soc_end,distance_driven,temperature,vehicle_age,charger_type,user_type
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,19.76909871755716,37.44185660286842,Morning,Friday,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7,Level 2,Commuter
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.40570905025936,6,Level 2,Casual Driver
User_39,Tesla Model 3,85.0,Station_279,Los Angeles,2024-01-02 14:00:00,2024-01-02 15:25:00,61.52075986084904,1.2804107080349374,12.510248962442,26.50571298106416,Afternoon,Monday,87.98462138000619,79.3884433831648,141.24375349788664,5.761050673536548,7,Level 2,Commuter
User_50,BMW i3,100.0,Station_36,New York,2024-01-03 01:00:00,2024-01-03 03:40:00,8.713190575944605,2.2095428234972503,49.2753455894196,9.644101413904608,Afternoon,Saturday,27.196196012553663,86.89391764029943,170.47505412270155,5.37807958403098,6,Level 2,Long-Distance Traveler
User_66,BMW i3,62.0,Station_208,Houston,2024-01-03 17:00:00,2024-01-03 18:46:00,59.25460166411963,1.2796206959579637,,12.220438303566691,Night,Thursday,77.03697398688679,91.82927487145972,167.29757277309406,35.27145068625696,7,Level 2,Long-Distance Traveler
User_81,Hyundai Kona,48.0506947257829,Station_3,Los Angeles,2024-01-04 08:00:00,2024-01-04 11:05:00,51.67374779364138,0.6917553642371982,46.59567841482084,18.01181177893121,Afternoon,Saturday,55.07217407784221,62.93578010941694,222.2746666893461,2.5542438030517296,7,Level 2,Casual Driver
User_90,Chevy Bolt,75.0,Station_61,San Francisco,2024-01-04 17:00:00,2024-01-04 18:53:00,27.84315247164263,2.543139660740745,17.00464384697846,12.278331917423372,Night,Tuesday,47.99218334647701,85.86518688525221,79.354979042724,7.516861653406636,7,Level 2,Casual Driver
User_105,Tesla Model 3,85.0,Station_209,New York,2024-01-05 08:00:00,2024-01-05 11:04:00,61.697438669843606,2.5255130370658327,30.7839968181946,22.48712027124098,Evening,Sunday,84.2736568755141,57.22115431322493,208.6484695678,28.312156710460712,6,Level 2,Commuter
User_122,BMW i3,75.0,Station_284,Los Angeles,2024-01-06 01:00:00,2024-01-06 03:11:00,39.64439031543013,1.9257418407030744,13.798289110981957,6.965265890858126,Afternoon,Wednesday,20.417448539505852,57.50198821454384,,22.572011579091168,6,Level 2,Casual Driver
User_132,Hyundai Kona,100.0,Station_114,Houston,2024-01-06 11:00:00,2024-01-06 11:40:00,36.616568616352566,3.3580146467574785,27.32114693970443,11.584869228221294,Afternoon,Sunday,66.55511783374999,56.23715390685432,69.23387008131701,24.523038772909203,7,Level 2,Long-Distance Traveler
User_136,Chevy Bolt,100.0,Station_89,Chicago,2024-01-06 15:00:00,2024-01-06 18:48:00,48.48756787108178,0.5639379356338684,16.75976742648834,7.600448838257698,Morning,Saturday,35.889037420116495,90.8523127201585,103.91165064214256,0.5341116925185432,7,Level 2,Long-Distance Traveler
